"","lsoacode","lsoaname.x","IDACIrate15","IDACIrate19"
"1","E01021988","Tendring 018A",0.781,0.74
"2","E01007133","Wirral 016E",0.582,0.598
"3","E01022025","Tendring 016B",0.86,0.623
"4","E01008978","Birmingham 121B",0.686,0.644
"5","E01007007","Sefton 037B",0.529,0.443
"6","E01012681","Blackpool 006A",0.721,0.567
"7","E01012673","Blackpool 010A",0.805,0.74
"8","E01012751","Blackpool 013D",0.557,0.791
"9","E01012655","Blackburn with Darwen 006E",0.591,0.51
"10","E01005482","Rochdale 010C",0.408,0.368
