"","lsoacode","lsoaname.x","IDAOPIrate15","IDAOPIrate19","change15to19"
"1","E01033659","Manchester 055D",0.471,0.084,-0.387
"2","E01033617","Birmingham 050F",0.711,0.346,-0.365
"3","E01033742","Greenwich 007F",0.456,0.152,-0.304
"4","E01023141","Rushmoor 008A",0.739,0.459,-0.28
"5","E01033615","Birmingham 135C",0.372,0.101,-0.271
"6","E01009585","Coventry 007E",0.668,0.409,-0.259
"7","E01033760","Liverpool 060C",0.519,0.26,-0.259
"8","E01008911","Birmingham 049B",0.52,0.272,-0.248
"9","E01033274","Sheffield 042G",0.306,0.064,-0.242
"10","E01033684","Manchester 013F",0.34,0.102,-0.238
