"","lsoacode","lsoaname.x","incomescore10","incomescore15","incomescore19"
"1","E01012673","Blackpool 010A",0.5095226,0.639,0.639
"2","E01008978","Birmingham 121B",0.5443883,0.636,0.636
"3","E01012655","Blackburn with Darwen 006E",0.5819184,0.622,0.622
"4","E01006493","Knowsley 001C",0.6200869,0.61,0.61
"5","E01009585","Coventry 007E",0.6173519,0.608,0.608
"6","E01012897","Kingston upon Hull 017E",0.5226825,0.603,0.603
"7","E01006448","Knowsley 001A",0.5440298,0.599,0.599
"8","E01010456","Wolverhampton 004A",0.5315778,0.593,0.593
"9","E01007133","Wirral 016E",0.5673286,0.591,0.591
"10","E01007122","Wirral 011C",0.6357853,0.581,0.581
